title,genres,overview,cast,director
The Dark Knight,Action Crime Drama Thriller,Batman battles the Joker a criminal mastermind who plunges Gotham into anarchy,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan
Inception,Action Sci-Fi Thriller,A thief who steals secrets through dream sharing is given a chance to plant an idea in a targets mind,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page,Christopher Nolan
Interstellar,Adventure Drama Sci-Fi,A team of explorers travel through a wormhole in space to ensure humanitys survival,Matthew McConaughey Anne Hathaway Jessica Chastain,Christopher Nolan
The Prestige,Drama Mystery Sci-Fi,Two stage magicians engage in a bitter rivalry to create the ultimate illusion,Hugh Jackman Christian Bale Scarlett Johansson,Christopher Nolan
Memento,Mystery Thriller,A man with short term memory loss uses notes and tattoos to hunt down his wifes killer,Guy Pearce Carrie-Anne Moss Joe Pantoliano,Christopher Nolan
The Matrix,Action Sci-Fi,A computer hacker learns the true nature of his reality and his role in the war against its controllers,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lana Wachowski
The Matrix Reloaded,Action Sci-Fi,Neo and his allies continue the fight against the machines that control the world,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lana Wachowski
John Wick,Action Crime Thriller,An ex hitman comes out of retirement to track down the gangsters that killed his dog,Keanu Reeves Michael Nyqvist Alfie Allen,Chad Stahelski
Mad Max Fury Road,Action Adventure Sci-Fi,In a post apocalyptic wasteland a woman rebels against a tyrannical ruler in search of her homeland,Tom Hardy Charlize Theron Nicholas Hoult,George Miller
Gladiator,Action Adventure Drama,A former Roman general sets out to exact vengeance against the corrupt emperor who murdered his family,Russell Crowe Joaquin Phoenix Connie Nielsen,Ridley Scott
Titanic,Drama Romance,A seventeen year old aristocrat falls in love with a poor artist aboard the doomed Titanic,Leonardo DiCaprio Kate Winslet Billy Zane,James Cameron
The Notebook,Drama Romance,A poor yet passionate man falls in love with a rich young woman during the summer of 1940,Ryan Gosling Rachel McAdams James Garner,Nick Cassavetes
La La Land,Comedy Drama Music Romance,A jazz pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles,Ryan Gosling Emma Stone John Legend,Damien Chazelle
Pride and Prejudice,Drama Romance,Sparks fly when spirited Elizabeth Bennet meets the proud Mr Darcy,Keira Knightley Matthew Macfadyen Brenda Blethyn,Joe Wright
The Fault in Our Stars,Drama Romance,Two teenage cancer patients fall in love after meeting at a support group,Shailene Woodley Ansel Elgort Nat Wolff,Josh Boone
The Hangover,Comedy,Three friends wake up from a bachelor party in Las Vegas with no memory of the previous night and their friend missing,Bradley Cooper Ed Helms Zach Galifianakis,Todd Phillips
Superbad,Comedy,Two co dependent friends navigate their final days of high school before college separates them,Jonah Hill Michael Cera Christopher Mintz-Plasse,Greg Mottola
Step Brothers,Comedy,Two grown men become competitive stepbrothers after their parents marry,Will Ferrell John C Reilly Richard Jenkins,Adam McKay
Anchorman,Comedy,A top rated newsman struggles to accept an ambitious woman as his new coanchor,Will Ferrell Christina Applegate Paul Rudd,Adam McKay
The Grand Budapest Hotel,Adventure Comedy Drama,A hotel concierge and his protege become embroiled in a theft and murder involving a family fortune,Ralph Fiennes Tony Revolori Adrien Brody,Wes Anderson
Get Out,Horror Mystery Thriller,A young African American man visits his white girlfriends parents estate and uncovers a disturbing secret,Daniel Kaluuya Allison Williams Bradley Whitford,Jordan Peele
A Quiet Place,Drama Horror Sci-Fi,A family must live in silence to avoid monsters that hunt by sound,Emily Blunt John Krasinski Millicent Simmonds,John Krasinski
Hereditary,Drama Horror Mystery,A grieving family is haunted by a disturbing supernatural presence after their mothers death,Toni Collette Alex Wolff Milly Shapiro,Ari Aster
The Conjuring,Horror Mystery Thriller,Paranormal investigators help a family terrorized by a dark presence in their farmhouse,Vera Farmiga Patrick Wilson Lili Taylor,James Wan
It,Horror,A group of kids in a small town are terrorized by an evil clown that feeds on their fears,Bill Skarsgard Jaeden Martell Finn Wolfhard,Andy Muschietti
Avengers Endgame,Action Adventure Sci-Fi,The remaining Avengers assemble to reverse the damage caused by Thanos and restore balance to the universe,Robert Downey Jr Chris Evans Mark Ruffalo,Anthony Russo
Avengers Infinity War,Action Adventure Sci-Fi,The Avengers must stop Thanos from collecting all six Infinity Stones,Robert Downey Jr Chris Hemsworth Mark Ruffalo,Anthony Russo
Iron Man,Action Adventure Sci-Fi,A billionaire industrialist builds a high tech suit of armor to fight evil,Robert Downey Jr Gwyneth Paltrow Terrence Howard,Jon Favreau
Spider-Man Into the Spider-Verse,Animation Action Adventure,A teenager from Brooklyn becomes the Spider Man of his universe and teams up with heroes from other dimensions,Shameik Moore Jake Johnson Hailee Steinfeld,Bob Persichetti
Guardians of the Galaxy,Action Adventure Comedy Sci-Fi,A group of intergalactic misfits band together to save the galaxy from a powerful villain,Chris Pratt Zoe Saldana Dave Bautista,James Gunn
Black Panther,Action Adventure Sci-Fi,The new king of Wakanda must defend his nation from being torn apart by enemies from within and outside,Chadwick Boseman Michael B Jordan Lupita Nyongo,Ryan Coogler
The Lion King,Animation Adventure Drama Family,A young lion prince flees his kingdom after his fathers murder and must reclaim his throne,Matthew Broderick Jeremy Irons James Earl Jones,Roger Allers
Toy Story,Animation Adventure Comedy Family,A cowboy doll feels threatened when a new spaceman action figure supplants him as top toy,Tom Hanks Tim Allen Don Rickles,John Lasseter
Finding Nemo,Animation Adventure Comedy Family,A clownfish sets out on a journey to find his missing son across the ocean,Albert Brooks Ellen DeGeneres Alexander Gould,Andrew Stanton
Up,Animation Adventure Comedy Family,An elderly widower ties balloons to his house and sets off on an adventure to South America,Edward Asner Christopher Plummer Jordan Nagai,Pete Docter
Coco,Animation Adventure Family Music,A boy is transported to the land of the dead where he seeks his musician ancestor,Anthony Gonzalez Gael Garcia Bernal Benjamin Bratt,Lee Unkrich
Whiplash,Drama Music,A young drummer enrolls at a cutthroat music conservatory where a brutal instructor pushes him to the edge,Miles Teller J K Simmons Melissa Benoist,Damien Chazelle
The Social Network,Biography Drama,Harvard student Mark Zuckerberg creates a social networking site that leads to lawsuits and personal betrayal,Jesse Eisenberg Andrew Garfield Justin Timberlake,David Fincher
Steve Jobs,Biography Drama,A look at the life of Apple co founder Steve Jobs through three iconic product launches,Michael Fassbender Kate Winslet Seth Rogen,Danny Boyle
The Imitation Game,Biography Drama Thriller,Mathematician Alan Turing helps crack the German Enigma code during World War Two,Benedict Cumberbatch Keira Knightley Matthew Goode,Morten Tyldum
A Beautiful Mind,Biography Drama,A brilliant mathematician struggles with schizophrenia while making groundbreaking discoveries,Russell Crowe Jennifer Connelly Ed Harris,Ron Howard
The Wolf of Wall Street,Biography Comedy Crime Drama,A stockbroker rises to wealth through corruption and fraud on Wall Street,Leonardo DiCaprio Jonah Hill Margot Robbie,Martin Scorsese
Goodfellas,Biography Crime Drama,A young man rises through the ranks of a New York mob family over three decades,Robert De Niro Ray Liotta Joe Pesci,Martin Scorsese
The Departed,Crime Drama Thriller,An undercover cop and a mole in the police attempt to identify each other in the Boston criminal underworld,Leonardo DiCaprio Matt Damon Jack Nicholson,Martin Scorsese
Pulp Fiction,Crime Drama,The lives of two mob hitmen a boxer and a gangsters wife intertwine in four tales of violence,John Travolta Uma Thurman Samuel L Jackson,Quentin Tarantino
Kill Bill Volume 1,Action Crime Thriller,A former assassin seeks revenge on the team that betrayed her and left her for dead,Uma Thurman David Carradine Daryl Hannah,Quentin Tarantino
Django Unchained,Drama Western,A freed slave sets out to rescue his wife from a brutal plantation owner,Jamie Foxx Christoph Waltz Leonardo DiCaprio,Quentin Tarantino
The Shawshank Redemption,Drama,Two imprisoned men bond over years finding solace and eventual redemption through acts of common decency,Tim Robbins Morgan Freeman Bob Gunton,Frank Darabont
The Green Mile,Crime Drama Fantasy,A death row prison guard witnesses supernatural events involving one of his inmates,Tom Hanks Michael Clarke Duncan David Morse,Frank Darabont
Forrest Gump,Drama Romance,The presidencies of Kennedy and Johnson unfold through the perspective of an Alabama man with a low IQ,Tom Hanks Robin Wright Gary Sinise,Robert Zemeckis
Cast Away,Adventure Drama,A FedEx executive must transform himself physically and emotionally after being stranded on a deserted island,Tom Hanks Helen Hunt,Robert Zemeckis
Saving Private Ryan,Drama War,A group of soldiers venture behind enemy lines to bring home a paratrooper whose brothers were killed in action,Tom Hanks Matt Damon Edward Burns,Steven Spielberg
Schindlers List,Biography Drama History War,A businessman saves the lives of over a thousand Jewish refugees during the Holocaust by employing them in his factory,Liam Neeson Ralph Fiennes Ben Kingsley,Steven Spielberg
Jurassic Park,Adventure Sci-Fi Thriller,Scientists clone dinosaurs to populate an island theme park that goes horribly wrong,Sam Neill Laura Dern Jeff Goldblum,Steven Spielberg
E T the Extra-Terrestrial,Family Sci-Fi,A young boy befriends a stranded alien and helps him find a way home,Henry Thomas Drew Barrymore Peter Coyote,Steven Spielberg
Star Wars A New Hope,Action Adventure Fantasy Sci-Fi,A young farm boy joins a rebellion to destroy a galactic empires planet destroying weapon,Mark Hamill Harrison Ford Carrie Fisher,George Lucas
Star Wars The Empire Strikes Back,Action Adventure Fantasy Sci-Fi,The rebels face a devastating counterattack from the empire while their hero trains as a Jedi,Mark Hamill Harrison Ford Carrie Fisher,Irvin Kershner
Harry Potter and the Sorcerers Stone,Adventure Family Fantasy,An orphaned boy discovers he is a wizard and enrolls at a magical school,Daniel Radcliffe Rupert Grint Emma Watson,Chris Columbus
Harry Potter and the Chamber of Secrets,Adventure Family Fantasy,A young wizard investigates a mysterious force petrifying students at his magical school,Daniel Radcliffe Rupert Grint Emma Watson,Chris Columbus
The Lord of the Rings The Fellowship of the Ring,Action Adventure Fantasy,A hobbit and companions set out to destroy a powerful ring before an evil lord can claim it,Elijah Wood Ian McKellen Orlando Bloom,Peter Jackson
The Lord of the Rings The Two Towers,Action Adventure Fantasy,The fellowship is broken but continues its quest to destroy the ring and save Middle Earth,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson
The Hobbit An Unexpected Journey,Adventure Fantasy,A hobbit joins a group of dwarves on a quest to reclaim their mountain home from a dragon,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson
Interview with the Vampire,Drama Fantasy Horror,A vampire recounts his life story spanning centuries to a reporter,Tom Cruise Brad Pitt Kirsten Dunst,Neil Jordan
Twilight,Drama Fantasy Romance,A teenage girl falls in love with a vampire in a small rainy town,Kristen Stewart Robert Pattinson Taylor Lautner,Catherine Hardwicke
The Hunger Games,Action Adventure Sci-Fi,A young woman volunteers to take her sisters place in a televised fight to the death,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Gary Ross
Divergent,Action Adventure Sci-Fi,In a divided society a young woman discovers she does not fit into any single faction,Shailene Woodley Theo James Kate Winslet,Neil Burger
Ex Machina,Drama Sci-Fi Thriller,A programmer is invited to administer a test to an intelligent humanoid robot,Domhnall Gleeson Alicia Vikander Oscar Isaac,Alex Garland
Blade Runner 2049,Drama Mystery Sci-Fi,A young blade runner uncovers a secret that leads him to a former blade runner missing for decades,Ryan Gosling Harrison Ford Ana de Armas,Denis Villeneuve
Arrival,Drama Mystery Sci-Fi,A linguist works with the military to communicate with alien visitors after mysterious spacecraft touch down,Amy Adams Jeremy Renner Forest Whitaker,Denis Villeneuve
Dune,Action Adventure Drama Sci-Fi,A noble family becomes embroiled in a war for control of a desert planet rich in a valuable resource,Timothee Chalamet Rebecca Ferguson Zendaya,Denis Villeneuve
Her,Drama Romance Sci-Fi,A lonely writer develops a relationship with an intelligent operating system,Joaquin Phoenix Scarlett Johansson Amy Adams,Spike Jonze
Eternal Sunshine of the Spotless Mind,Drama Romance Sci-Fi,A couple undergoes a procedure to erase each other from their memories after a painful breakup,Jim Carrey Kate Winslet,Michel Gondry
Black Swan,Drama Thriller,A ballet dancer descends into paranoia and psychological turmoil while competing for a lead role,Natalie Portman Vincent Cassel Mila Kunis,Darren Aronofsky
Shutter Island,Mystery Thriller,A US Marshal investigates the disappearance of a patient from a hospital for the criminally insane,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,Martin Scorsese
Se7en,Crime Drama Mystery Thriller,Two detectives hunt a serial killer who uses the seven deadly sins as his motives,Brad Pitt Morgan Freeman Gwyneth Paltrow,David Fincher
Fight Club,Drama,An insomniac office worker and a soap maker form an underground fight club that spirals into something much darker,Edward Norton Brad Pitt Helena Bonham Carter,David Fincher
Gone Girl,Drama Mystery Thriller,A mans wife disappears on their anniversary and he becomes the prime suspect in her disappearance,Ben Affleck Rosamund Pike Neil Patrick Harris,David Fincher
Zodiac,Crime Drama Mystery,A cartoonist becomes obsessed with identifying the Zodiac serial killer terrorizing San Francisco,Jake Gyllenhaal Robert Downey Jr Mark Ruffalo,David Fincher
No Country for Old Men,Crime Drama Thriller,A hunter stumbles upon a drug deal gone wrong and finds himself pursued by a relentless killer,Tommy Lee Jones Javier Bardem Josh Brolin,Ethan Coen
The Big Lebowski,Comedy Crime,A slacker is mistaken for a millionaire of the same name leading to a bizarre kidnapping caper,Jeff Bridges John Goodman Julianne Moore,Ethan Coen
Parasite,Comedy Drama Thriller,A poor family schemes to become employed by a wealthy family by infiltrating their household,Song Kang-ho Lee Sun-kyun Cho Yeo-jeong,Bong Joon Ho
Snowpiercer,Action Drama Sci-Fi,Survivors of a frozen apocalypse board a perpetually moving train divided by class,Chris Evans Song Kang-ho Tilda Swinton,Bong Joon Ho
Oldboy,Action Drama Mystery Thriller,A man seeks revenge after being mysteriously imprisoned for fifteen years without explanation,Choi Min-sik Yoo Ji-tae Kang Hye-jung,Park Chan-wook
Spirited Away,Animation Adventure Family Fantasy,A young girl wanders into a spirit world and must find a way to save her parents and return home,Daveigh Chase Suzanne Pleshette Miyu Irino,Hayao Miyazaki
